labels,type,true
UoE_1_1,science,0
UoE_1_2,science,0
UoE_1_3,science,0
UoE_1_4,science,0
UoE_1_5,science,0
UoE_1_6,science,0
UoE_1_7,science,1
UoE_1_8,science,1
UoE_1_9,science,1
UoE_1_10,science,1
UoE_1_11,science,1
UoE_1_12,science,1
UoE_1_13,science,1
UoE_1_14,science,0
UoE_1_15,covid,0
UoE_1_16,covid,0
UoE_1_17,covid,0
UoE_1_18,covid,0
UoE_1_19,covid,0
UoE_1_20,covid,0
UoE_1_21,covid,1
UoE_1_22,covid,1
UoE_1_23,covid,1
UoE_1_24,covid,1
UoE_1_25,covid,0
UoE_1_26,covid,1
UoE_1_27,covid,1
UoE_1_28,covid,1
